customer_id,total_disbursed,total_repaid,net_exposure
41537ae903842046b14a01daea075964cc5b8009f5977e0d01b3f306d8413918,12901000.0,1467086.330000011,11433913.669999989
9903e2a1e84d95e05de604fe13a609fa9108d5b7831f1c6abb4ce5f3d1a00b34,14024400.0,2853089.999999991,11171310.00000001
12fcb79f24ed841fda184bd9f773cc13285a8b71e682557e00ddafd7c9ab8a33,12768000.0,2406599.9999999837,10361400.000000017
d9729433d7ffe52d146b6088dbeec3536ce3806542785771c5deb61c6f8382c1,12467000.0,2802800.000000012,9664199.999999989
ad490c486fc9737d9a9dba23a5c5b49e64668f1a06b6b47c4f809c083d32b082,9660000.0,933516.7499999978,8726483.250000002
6c4d758766a89a7c7d863622965349377a1d6c2a112be2ca5346192fef4c33b1,9609840.0,1242835.6,8367004.4
1e67375e63c4b2308d1f91ee504b3d2145d28b7418bdc590950eb4b38f62931b,8788500.0,2908737.5399999795,5879762.46000002
dcdf6fbabe0bb7d6e6fe084039d41fc7040e1bf4cf7ef53b6d280132ce43fea8,7201480.0,1677302.9999999958,5524177.000000004
200340a7ed83e1d845953816c62090f57d7a2913425fdfc17acd617ab6e5a989,6328000.0,1087040.0,5240960.0
b23747f53af805e18ad16a4ef235b6642d88f9134644ffd1970b76d6523ec991,7325500.0,2124965.400000009,5200534.59999999
5708a53e759dbe8f29995bb699a500ddcbec668fefb889a635fe6ded9edfcb39,10604080.0,5472929.000000016,5131150.999999984
d1cc5d017fcdeb7ee19a09c7ee54fb28bdfcb9eac13475c821faa0693dbb9aae,8459360.0,3662885.1200000346,4796474.879999965
e700df3d0eb10a7e40ba5f7e1afbb80cfd2f260626452da328ce39a61047f892,4882500.0,346437.0000000001,4536063.0
633986224520cd88b6dde6521438505f13d8cf8d02a6f138eafc80c45c76bb02,5699760.0,1183623.8400000012,4516136.159999998
99abd19dba6b22584e5113b7e812fdd5f5d87135d1b699fb4add284bb8ba2d2f,8246000.0,3935401.640000009,4310598.359999991
fb1e6189037a57552f96f60bb51c9bc5ae7c46dfd8c4090520eab8cbe1a630cf,5325300.0,1056920.0,4268380.0
48c804d28259494937aa84e8e39b90c766ac867905d1b2672dab2956af462e24,7276500.0,3016439.999999994,4260060.000000006
94e8285030e953bf3771edbb3af104dd94edf9bb585eb9724499a9d65b8be77c,7525440.0,3447577.799999974,4077862.200000026
4c57016cc45b00fa302ad0e23bf956fd8a8074d4997eb294369442504b99c741,7665000.0,3695999.9999999898,3969000.0000000102
3fdf71fac0a07bfbf5f346ed1d7dbc58d3e3987c4e310323ee696e6257bcb3d2,3710000.0,422780.0,3287220.0
5f6c9d5a5429f80d54048068ea75efb19292f843a89a052fafde4daaa8341ad7,3402000.0,300463.1099999995,3101536.8900000006
475f2e671efc6f75146e28d33639f5067f661fb59a464c8d7fb93a91c9ff05cd,3864000.0,986957.5999999966,2877042.400000003
f9f091676ed9523b07872af391e4b2f785a6f2f5015f8252dd5bc0d51044291e,2982000.0,144900.0000000002,2837100.0
7ff542b75f752a2aa2e52deb2cfad1cd57df628777fe163fefcb3825577c5531,4042800.0,1238575.8000000042,2804224.1999999955
61840354fb038ba4ebde0899e560ea59b5e822157038d2ec4cca3656e7e65d66,4472120.0,1730320.0000000044,2741799.9999999953
5ec8463eca502c59949e23eae11b16038597f4d1c928a1545e75fe2eb3b6e33f,2856000.0,569828.0400000011,2286171.959999999
683131338d401fda38410a808797b7706bc3e364d0fe77098599032aed112ce6,3510500.0,1243550.0000000035,2266949.9999999963
7d09126130d60bebccab3a611d8fd0f89f22db4aba864d0d9529857469425108,5348640.0,3094938.0000000023,2253701.9999999977
86f2652a489c211109dffe840ea2120545b01bfe8ae556aaffc437ae3a2ed651,4812500.0,2598274.250000005,2214225.749999995
8267683e566ce73bc1ac1f510a455bc5b361cfc40c458fdafc361351d094948d,2645720.0,461822.5199999997,2183897.4800000004
28ba13c8b8042ce867960d3ebccb191e4dd27e91df14b5839b25c38ea5dc25af,3717630.0,1544387.9,2173242.1
730ae9c61a443a13fe10bda4b16775e96b7c821d18e76d965d211053bdcdef0d,4816000.0,2659800.0000000177,2156199.9999999823
a3011a30ee7fbc2c654e00c5ddf26819acbb79e636dedbdeced12cb8624c9049,2812000.0,666801.2399999938,2145198.7600000063
60a83e1aee67f1b0d3f4bd180c92d61f8cd777f5884d2f2aa98757f0001d8fc8,2618000.0,524369.9999999992,2093630.000000001
e4f4b7cdd9284b2cfea9d54b3a4908a4d4c2ac55b926756207c9736a336beed7,2185890.0,212694.0,1973196.0
4aa8a5206e30047798c53a9b732e1a47560fd522fb118dfff8ecb521c84b73fa,1928120.0,79061.07999999996,1849058.92
023206a65d042fbabde65eb72513838e9b81fc3eb2950c87a028625f748ea987,2444520.0,629216.729999995,1815303.2700000051
89dd589c4f4e4f49f62297ca4e565f199173c5a270382c553f10a2c8055ff947,2016000.0,218890.0,1797110.0
