customer_id,total_disbursed,total_repaid,repay_pct,provisioning_recommendation
373a0279abf696d4365b0d8cd91099814fef639cca48938234212f9a05afec62,150.0,0.0,0.0,Provision 100%
3aa03a33aa0928a9adade257b71d5de39c156f112a2fd3629985026036fd6ce6,120.0,0.1,0.08,Provision 100%
e6328b255a3b1cadb5665528e33c89d4d5a27c16c2649c3c05b45943af16af95,70.0,0.1,0.14,Provision 100%
36f79c7bbfd3f60309482f058935b662bc39f87070e64540e330d35849ff8eb7,160.0,0.76,0.48,Provision 100%
8f02afa6f8d7eb97075e3c358a34dcb94c207508291dfad195f1c432a6e8d7fc,820.0,10.68,1.3,Provision 100%
08dc8ea603dc9569e4341eab8bc1759b6adacaf73cf1faf6c5bd9fe8d7df6aaa,190.0,5.64,2.97,Provision 100%
d4b32fa138b0176f08287a3410ecb7a246a665fe5caf9e17d6e91e5caeef2d84,70.0,2.14,3.06,Provision 100%
2145e3c8ebc374a768c1ee5bf12e5600b615ce38c1954e111b70c87bab1fca78,180.0,5.72,3.18,Provision 100%
0fa081aef229b17bf4c994c18291fd47a49b10e2c6e76dcc2c85e607af9d3443,90.0,2.98,3.31,Provision 100%
4aa8a5206e30047798c53a9b732e1a47560fd522fb118dfff8ecb521c84b73fa,1928120.0,79061.07999999996,4.1,Provision 100%
43423355bce13b49ff4af8bab42b7c3b6d448c2b022ae9a30c6bb2f7f5867027,70.0,3.02,4.31,Provision 100%
433cc273e6e7ffcc922f3fa5f757e3696b53f535cfce719132c196420bb6324f,300000.0,13338.820000000002,4.45,Provision 100%
f9f091676ed9523b07872af391e4b2f785a6f2f5015f8252dd5bc0d51044291e,2982000.0,144900.0000000002,4.86,Provision 100%
a2d94939b1193abb847f6733c83e3d0147a3450798a253b54094e825d2e7877a,732060.0,38743.30000000002,5.29,Provision 100%
a73d349795945789cac6474417016b11156c8e69fee37adac750bb6afa998df7,420.0,22.58,5.38,Provision 100%
443144f728d5a23010817c470717bd54c7f98167eb6e1358bd55bc23e37abd03,8000.0,484.47,6.06,Provision 100%
1cdcc3dd95cdfad6618ceae4d951e4df21b556cd06f3b66c53c0359a17c27362,17500.0,1089.8600000000001,6.23,Provision 100%
b662195ae53cf739153673062193e8f9997b906d874af5a54af1a21440fcb10d,1787940.0,113588.9999999999,6.35,Provision 100%
ef319f96cb001904cf62c5205c07b9a2acf3b40e5dc93da2a28b964e96048808,266000.0,17510.639999999996,6.58,Provision 100%
e700df3d0eb10a7e40ba5f7e1afbb80cfd2f260626452da328ce39a61047f892,4882500.0,346437.0000000001,7.1,Provision 100%
7e01380c4ffad2b01bc22382c26784896125cd9e7f11159fa12d90746117faf4,11210.0,804.06,7.17,Provision 100%
83482e7f3156661e6dfa168012f085da414e1da95505ab1cd64258a5244b4b34,52000.0,4040.000000000001,7.77,Provision 100%
4c4042e1517ed50bc4f9ac6edb40b00f94873bfb8d8e834fbab7852f13d5015f,8960.0,725.0,8.09,Provision 100%
75e4267b4385aa2728b593d766f7b88c3f8d45bb54f334c0299f19c0faa0c395,71500.0,5936.3099999999995,8.3,Provision 100%
5f6c9d5a5429f80d54048068ea75efb19292f843a89a052fafde4daaa8341ad7,3402000.0,300463.1099999995,8.83,Provision 100%
8f9fe15a9b6ba96de889c0bce2acf7b1bb5194827adc51a50cd3751c92b9b95a,812000.0,72747.96,8.96,Provision 100%
36ec07c24f36e3a9ac8e85883e822c5512f065e89a99fa0d77d56d567e453d43,56000.0,5073.99,9.06,Provision 100%
67485eaeb399b41d1471205a060a389c37772dde2909eb81ddaa041b86b56f96,149040.0,14214.000000000002,9.54,Provision 100%
ad490c486fc9737d9a9dba23a5c5b49e64668f1a06b6b47c4f809c083d32b082,9660000.0,933516.7499999978,9.66,Provision 100%
e4f4b7cdd9284b2cfea9d54b3a4908a4d4c2ac55b926756207c9736a336beed7,2185890.0,212694.0,9.73,Provision 100%
6014f5853d61f4cb9bf31a23bda3f25c0341d5c11971889aaed2786a96d609e1,141750.0,13909.859999999995,9.81,Provision 100%
12254c8ebfb546859df54ab569f86f1f2bb16fd7b2041f998c6e33be7c179cd0,566040.0,56209.99999999996,9.93,Provision 100%
986c285a634ab55479dda73bee6c191c552ac1723bb20d58f179ef86df8feaab,1207500.0,120749.99999999981,10.0,Provision 100%
c511c80b822c7987841999fc8d8fe1409567f9cdc330a7e117efd7991b2121f3,247000.0,24699.600000000013,10.0,Provision 100%
55023e0cc9c4eb3a0cc65263275c0dd94c8579c9e13f3db1a138fb93b9872101,210.0,21.33,10.16,Provision 100%
cd83f8ba341cb0db16870b0295d200b59ce683c7968ac35a29f3f0515d0e63e6,146200.0,15471.0,10.58,Provision 100%
b8276dec060c7e0a086e35bf1d0daf00452640a7d889b54f2a5afc3700378eb7,2220.0,240.0,10.81,Provision 100%
89dd589c4f4e4f49f62297ca4e565f199173c5a270382c553f10a2c8055ff947,2016000.0,218890.0,10.86,Provision 100%
37787c416755532917954be12ee3bed085cc48cc4976eac24b2a0fbe94e4190b,1788500.0,197225.0000000003,11.03,Provision 100%
fbe1dcadb40a6d15b15a8c96e63c47f9b334dd985e0077697b127ffd12650612,70.0,7.84,11.2,Provision 100%
